,offense_pass_oe,defense_pass_oe,goal_offense_pass_oe,offense_snaps,defense_snaps,defense_yac_oe,defense_yac,targets,carries,red_zone_targets,red_zone_carries,deep_targets,defense_sacks,offense_sacks,defense_tfl,offense_tfl,defense_holds_drawn,offense_holds_drawn,offense_pen_rate,defense_pen_rate,offense_hold_rate,defense_hold_rate
offense_pass_oe,1.0,-0.14224605988502553,0.9856546685702482,0.33100358455290313,0.2521589210788034,0.3089503167099489,0.2063123006353296,0.7418324857252119,-0.6641955571814894,0.7524856356688381,-0.6208188598620662,0.31898372698935235,-0.05225810121861563,0.08808435529671836,-0.19686791356048453,-0.20669900130646512,-0.10127000184170609,-0.0514978215537709,-0.1313288653721813,-0.2511267162862516,-0.12837758544889522,-0.14964596833386237
defense_pass_oe,-0.14224605988502553,1.0,-0.15537473965335363,0.3252897472064828,0.1424776250465046,-0.05579910841308474,-0.023638956052319988,0.057621265401204935,0.30689063895855806,0.08657080329476739,0.2951973259137899,0.07541318749867763,0.08318605731491749,0.08837389923213382,0.22749211695628713,-0.11622821733553204,0.021087190507553567,0.18478403996217002,-0.06825039505445196,0.1939636788780555,0.111412584772861,-0.011456165223829907
goal_offense_pass_oe,0.9856546685702482,-0.15537473965335363,1.0,0.34068061260457866,0.27507043278307025,0.2717132075975282,0.1534262708894182,0.7389858249858131,-0.6505562134958353,0.7578811579945777,-0.6309065684091419,0.2883224551647671,-0.023722623134748693,0.08615298945143822,-0.10908751578080747,-0.1484778591013345,-0.15357757305068004,-0.045152959314927625,-0.11038197324660211,-0.16971099469258846,-0.12519778774533816,-0.20892200473942904
offense_snaps,0.33100358455290313,0.3252897472064828,0.34068061260457866,1.0,-0.26018615608109524,0.1407945327311678,0.199781899440823,0.7047354135966236,0.14852112734727732,0.7360254003785629,0.15783560154640092,0.23919864465876628,-0.1536911484042312,-0.0450392312254797,-0.05108715822167497,0.1343783549685398,-0.2766435401100591,-0.20296176872615304,-0.27825747677097545,-0.07155537179528501,-0.4023737645366955,-0.23265631368708556
defense_snaps,0.2521589210788034,0.1424776250465046,0.27507043278307025,-0.26018615608109524,1.0,0.025626017810889492,-0.17569495368135543,0.08257629524727352,-0.42702050922270995,0.0677585108896822,-0.45895199328078445,0.20141816858280892,0.12828863943524588,0.36619287737314704,0.10771607723042849,-0.07727945223576049,0.31876875449018666,0.21658977054445924,0.35003625606381383,-0.06774740759354565,0.25960409634064274,0.12491995932132471
defense_yac_oe,0.3089503167099489,-0.05579910841308474,0.2717132075975282,0.1407945327311678,0.025626017810889492,1.0,0.923149612131536,0.22674652393340655,-0.250732960192389,0.18821464060796125,-0.23992516531961103,-0.05431573034412454,-0.42213567907461347,0.30300822255765,0.051737693348022404,-0.09691891874733924,0.1959613616878848,0.070465127476382,0.15959438114297825,-0.21462701013121022,0.0297745325642655,0.1959591123800678
defense_yac,0.2063123006353296,-0.023638956052319988,0.1534262708894182,0.199781899440823,-0.17569495368135543,0.923149612131536,1.0,0.17445566770350204,-0.07645158029072448,0.1532002925597112,-0.04863714291794668,-0.08271723491129182,-0.3012440081117636,0.12489052711535936,0.011770857592268582,-0.1290749654249772,0.1657116166531566,-0.0025517566324690937,-0.02101306004672195,-0.13028185409703774,-0.04903309735749405,0.20686083225434185
targets,0.7418324857252119,0.057621265401204935,0.7389858249858131,0.7047354135966236,0.08257629524727352,0.22674652393340655,0.17445566770350204,1.0,-0.5609218631997401,0.9831501517777292,-0.5261876021973156,0.22473889881183462,-0.1505847917570492,0.08517447375038423,-0.07523763963875192,-0.11852234551046574,-0.013534376004812582,-0.07383843472217352,-0.1979323645807638,-0.17260973814397712,-0.2198875924664305,-0.018704083439498077
carries,-0.6641955571814894,0.30689063895855806,-0.6505562134958353,0.14852112734727732,-0.42702050922270995,-0.250732960192389,-0.07645158029072448,-0.5609218631997401,1.0,-0.4852695089499882,0.9850921257523528,-0.14868539759116173,0.10385207649670403,-0.3656548633547528,0.024589085117252267,0.2561760638733263,-0.23807651007691713,-0.2038432228603917,-0.22748044307046034,0.1874369127999441,-0.22053349808410586,-0.17304509508202512
red_zone_targets,0.7524856356688381,0.08657080329476739,0.7578811579945777,0.7360254003785629,0.0677585108896822,0.18821464060796125,0.1532002925597112,0.9831501517777292,-0.4852695089499882,1.0,-0.45117330504810615,0.2377489094507501,-0.13452350611387487,0.05356776894079474,-0.10193561258943883,-0.14789599135106996,-0.045773793070714816,-0.14443628281453397,-0.2472720487516786,-0.18068387797099406,-0.2929173964209796,-0.049754961065654094
red_zone_carries,-0.6208188598620662,0.2951973259137899,-0.6309065684091419,0.15783560154640092,-0.45895199328078445,-0.23992516531961103,-0.04863714291794668,-0.5261876021973156,0.9850921257523528,-0.45117330504810615,1.0,-0.13801462292381364,0.08042112647777587,-0.4157951671479256,-0.059453912699133804,0.18327742740405348,-0.18269264291971973,-0.2509526827955994,-0.30342620642383955,0.11390956650489871,-0.26628139908544796,-0.10865491805892999
deep_targets,0.31898372698935235,0.07541318749867763,0.2883224551647671,0.23919864465876628,0.20141816858280892,-0.05431573034412454,-0.08271723491129182,0.22473889881183462,-0.14868539759116173,0.2377489094507501,-0.13801462292381364,1.0,-0.07924299911113267,0.23166853766113835,-0.1684811294684511,-0.04653271169325862,-0.17045938743562997,-0.18659526936872056,0.09175925762381476,-0.2350239224586967,-0.23279429722845818,-0.21092746273665228
defense_sacks,-0.05225810121861563,0.08318605731491749,-0.023722623134748693,-0.1536911484042312,0.12828863943524588,-0.42213567907461347,-0.3012440081117636,-0.1505847917570492,0.10385207649670403,-0.13452350611387487,0.08042112647777587,-0.07924299911113267,1.0,-0.3623939522270544,0.05221406389230181,0.07475131505039555,-0.14608053664986526,0.07274590271971505,-0.21188007450710425,0.6020625920063146,0.10677945026565976,-0.1858665016454353
offense_sacks,0.08808435529671836,0.08837389923213382,0.08615298945143822,-0.0450392312254797,0.36619287737314704,0.30300822255765,0.12489052711535936,0.08517447375038423,-0.3656548633547528,0.05356776894079474,-0.4157951671479256,0.23166853766113835,-0.3623939522270544,1.0,0.08482491107635616,0.03566681960142096,0.24830751268833723,0.11264671638801732,0.8612367284719691,-0.2322593315475612,0.12703240051161047,0.17964726331866882
defense_tfl,-0.19686791356048453,0.22749211695628713,-0.10908751578080747,-0.05108715822167497,0.10771607723042849,0.051737693348022404,0.011770857592268582,-0.07523763963875192,0.024589085117252267,-0.10193561258943883,-0.059453912699133804,-0.1684811294684511,0.05221406389230181,0.08482491107635616,1.0,0.09449636040314231,0.09136382706596484,0.21749560836011436,0.1293779986371753,0.7955082778124046,0.20550057478819822,0.06678426338736011
offense_tfl,-0.20669900130646512,-0.11622821733553204,-0.1484778591013345,0.1343783549685398,-0.07727945223576049,-0.09691891874733924,-0.1290749654249772,-0.11852234551046574,0.2561760638733263,-0.14789599135106996,0.18327742740405348,-0.04653271169325862,0.07475131505039555,0.03566681960142096,0.09449636040314231,1.0,-0.27768334180011234,-0.04063725195436052,0.43926950002368226,0.14345435169662152,-0.07081089958301044,-0.27578494220546734
defense_holds_drawn,-0.10127000184170609,0.021087190507553567,-0.15357757305068004,-0.2766435401100591,0.31876875449018666,0.1959613616878848,0.1657116166531566,-0.013534376004812582,-0.23807651007691713,-0.045773793070714816,-0.18269264291971973,-0.17045938743562997,-0.14608053664986526,0.24830751268833723,0.09136382706596484,-0.27768334180011234,1.0,-0.016420044892175863,0.17970628549200462,-0.09567176570774637,0.04316059924585665,0.9793011223988694
offense_holds_drawn,-0.0514978215537709,0.18478403996217002,-0.045152959314927625,-0.20296176872615304,0.21658977054445924,0.070465127476382,-0.0025517566324690937,-0.07383843472217352,-0.2038432228603917,-0.14443628281453397,-0.2509526827955994,-0.18659526936872056,0.07274590271971505,0.11264671638801732,0.21749560836011436,-0.04063725195436052,-0.016420044892175863,1.0,0.1445502051978895,0.16893635278794517,0.9768625274590447,-0.06050696201863445
offense_pen_rate,-0.1313288653721813,-0.06825039505445196,-0.11038197324660211,-0.27825747677097545,0.35003625606381383,0.15959438114297825,-0.02101306004672195,-0.1979323645807638,-0.22748044307046034,-0.2472720487516786,-0.30342620642383955,0.09175925762381476,-0.21188007450710425,0.8612367284719691,0.1293779986371753,0.43926950002368226,0.17970628549200462,0.1445502051978895,1.0,-0.10094274938774483,0.2036425228367874,0.10965133733985899
defense_pen_rate,-0.2511267162862516,0.1939636788780555,-0.16971099469258846,-0.07155537179528501,-0.06774740759354565,-0.21462701013121022,-0.13028185409703774,-0.17260973814397712,0.1874369127999441,-0.18068387797099406,0.11390956650489871,-0.2350239224586967,0.6020625920063146,-0.2322593315475612,0.7955082778124046,0.14345435169662152,-0.09567176570774637,0.16893635278794517,-0.10094274938774483,1.0,0.16935673690071024,-0.09477129757829428
offense_hold_rate,-0.12837758544889522,0.111412584772861,-0.12519778774533816,-0.4023737645366955,0.25960409634064274,0.0297745325642655,-0.04903309735749405,-0.2198875924664305,-0.22053349808410586,-0.2929173964209796,-0.26628139908544796,-0.23279429722845818,0.10677945026565976,0.12703240051161047,0.20550057478819822,-0.07081089958301044,0.04316059924585665,0.9768625274590447,0.2036425228367874,0.16935673690071024,1.0,-0.008524750869883546
defense_hold_rate,-0.14964596833386237,-0.011456165223829907,-0.20892200473942904,-0.23265631368708556,0.12491995932132471,0.1959591123800678,0.20686083225434185,-0.018704083439498077,-0.17304509508202512,-0.049754961065654094,-0.10865491805892999,-0.21092746273665228,-0.1858665016454353,0.17964726331866882,0.06678426338736011,-0.27578494220546734,0.9793011223988694,-0.06050696201863445,0.10965133733985899,-0.09477129757829428,-0.008524750869883546,1.0
